ratID,Session,Epoch_N,OF,REM
27284_Douglas,1,0,47.77777777777778,40.0
27284_Douglas,1,1,36.11111111111111,37.77777777777777
27284_Douglas,1,2,33.88888888888889,19.44444444444444
27284_Douglas,1,3,40.555555555555564,11.11111111111111
27284_Douglas,1,4,47.777777777777786,14.444444444444446
27284_Douglas,1,5,43.888888888888886,11.666666666666666
27284_Douglas,1,6,39.44444444444445,28.888888888888886
27284_Douglas,1,7,36.11111111111111,14.444444444444443
27284_Douglas,1,8,37.222222222222214,21.666666666666664
27284_Douglas,1,9,39.44444444444445,15.0
27284_Douglas,1,10,32.22222222222222,16.111111111111107
27284_Douglas,1,11,50.000000000000014,72.22222222222221
27284_Douglas,1,12,39.44444444444445,12.77777777777778
27284_Douglas,1,13,43.33333333333332,46.111111111111114
27285_Elm,1,0,36.11111111111111,56.11111111111112
27285_Elm,1,1,51.11111111111112,55.00000000000001
27285_Elm,1,2,36.666666666666664,34.44444444444444
27963_Hemlock,1,0,54.44444444444444,32.777777777777786
27963_Hemlock,1,1,50.000000000000014,53.333333333333336
27963_Hemlock,1,2,54.44444444444445,50.55555555555558
27963_Hemlock,1,3,48.88888888888889,37.222222222222214
27963_Hemlock,1,4,45.0,53.333333333333336
27963_Hemlock,1,5,52.77777777777778,58.33333333333335
28003_Ironwood,1,0,31.666666666666664,39.44444444444445
29629_Karri,1,0,16.666666666666664,26.666666666666668
29629_Karri,1,1,16.666666666666664,47.22222222222223
29629_Karri,1,2,16.11111111111111,42.22222222222223
29629_Karri,1,3,16.666666666666664,44.444444444444436
29629_Karri,1,4,17.222222222222218,38.8888888888889
29629_Karri,1,5,17.777777777777775,37.777777777777786
29630_Juniper,1,0,34.44444444444444,45.0
29630_Juniper,1,1,50.555555555555564,54.44444444444444
29630_Juniper,1,2,35.55555555555555,54.44444444444445
29630_Juniper,2,0,35.55555555555555,46.666666666666664
29630_Juniper,2,1,45.55555555555556,46.111111111111114
29630_Juniper,2,2,46.66666666666667,53.8888888888889
29630_Juniper,2,3,40.555555555555564,30.555555555555554
29630_Juniper,2,4,40.0,61.66666666666666
29630_Juniper,2,5,40.555555555555564,22.77777777777778
29630_Juniper,3,0,32.22222222222222,52.22222222222223
29630_Juniper,3,1,40.55555555555556,46.666666666666664
29630_Juniper,3,2,41.666666666666664,61.66666666666667
29630_Juniper,3,3,41.11111111111112,26.666666666666668
29630_Juniper,3,4,43.333333333333336,60.0
29630_Juniper,3,5,53.333333333333336,45.0
29630_Juniper,3,6,30.0,62.77777777777778
29630_Juniper,3,7,38.88888888888889,69.44444444444444
29630_Juniper,3,8,36.11111111111111,26.666666666666668
29630_Juniper,3,9,33.333333333333336,51.11111111111112
29630_Juniper,3,10,30.555555555555557,71.1111111111111
